順位,名前,点数
755,佐鳥電機,105
3211,モブキャスト,105
2053,テラプローブ,105
2584,ナカボーテック,105
3035,ロブテックス,105
3129,原弘産,104
1748,ダイキアクシス,104
239,光通信,104
2636,日東化工,104
2959,コーセーアールイー,104
3324,雑貨屋ブルドッグ,104
1469,日本ピグメント,104
2142,日本ライトン,103
674,中部飼料,103
1046,澁谷工業,103
1396,マルカキカイ,103
1744,ブロードバンドタワー,103
546,奥村組,103
171,岡谷鋼機,103
665,井関農機,103
782,日本ケミコン,103
3196,シンポ,103
2964,ニッパンレンタル,103
1047,日本新薬,103
1393,電気興業,102
2882,銀座ルノアール,102
1383,秋田銀行,102
1605,ドクターシーラボ,102
2401,キャリアリンク,102
1799,日本カーボン,102
760,文化シヤッター,102
1306,ゼンリン,102
2775,日本コンベヤ,102
1777,美樹工業,102
964,エスケー化研,102
3336,リアルワールド,102
2544,愛光電気,102
1359,富士急行,102
1574,新晃工業,102
3045,プラップジャパン,102
285,きんでん,102
2155,新コスモス電機,102
1219,石塚硝子,102
2335,工藤建設,102
893,アオキスーパー,102
1094,紀陽銀行,102
3540,ナノキャリア,101
1250,プラマテルズ,101
2493,クラウディア,101
3502,マークラインズ,101
3629,ポケットカード,101
1886,タカラバイオ,101
1989,レオン自動機,101
2484,ネプロジャパン,101
692,タカラトミー,101
2797,アサカ理研,101
2842,モリテックス,101
3330,アクトコール,101
1233,ココスジャパン,101
649,日本化薬,101
2664,パウダーテック,101
1115,信越ポリマー,101
11,パナソニック,101
1404,東京インキ,101
1066,タカラレーベン,101
2991,キャリアバンク,101
1522,六甲バター,101
747,スルガ銀行,101
2683,一六堂,101
3544,パス,100
3064,テクノクオーツ,100
814,京都銀行,100
2531,セキ,100
1004,カネ美食品,100
463,鴻池運輸,100
2330,水道機工,100
206,四国電力,100
2025,近畿車輛,100
530,静岡銀行,100
3121,理研コランダム,100
1783,油研工業,100
3057,リード,100
1997,アジア航測,100
3041,コモ,100
1665,帝国繊維,100
117,日本航空,100
1274,澁澤倉庫,100
2859,高木証券,100
950,グリー,100
1256,日本バイリーン,100
3484,カーディナル,100
1625,小松精練,100
3538,ガーラ,100
1097,北國銀行,100
3532,ランド,100
333,デンカ,100
2054,図研,100
1120,北野建設,100
3068,ホーブ,100
2975,コタ,100
426,近鉄百貨店,100
3621,全国保証,100
779,東芝機械,100
2865,日本テレホン,100
2249,鳥取銀行,100
2172,日本エスコン,100
2466,キング,100
1562,日本ロジテム,100
3589,北弘電社,100
3427,テラ,100
2352,アイ・ケイ・ケイ,100
2852,グリーンランドリゾート,99
147,日立金属,98
1546,モリ工業,98
1844,インテリックス,98
2220,サンコーテクノ,98
489,日本精機,98
3236,レントラックス,98
3008,富士変速機,98
2230,川岸工業,98
3014,東京衡機,98
1229,岩崎電気,98
905,日本毛織,98
2926,不二ラテックス,98
3333,光彩工芸,98
2250,よみうりランド,98
2304,曽田香料,98
324,丸井グループ,98
1373,福井銀行,98
1101,クロスプラス,98
1891,日本精化,98
256,三菱瓦斯化学,98
1824,魚力,98
3293,小林洋行,98
2458,金下建設,98
1817,綜研化学,98
2457,セブン工業,98
1721,ウィルグループ,98
1610,日本化成,98
1042,百五銀行,98
1196,名港海運,98
1618,小倉クラッチ,98
1960,ロックペイント,98
3566,花月園観光,98
2476,日本ユピカ,98
357,スタンレー電気,98
2783,鉱研工業,98
1998,ラサ工業,98
2548,精工技研,98
734,日立工機,98
1482,中野冷機,98
1182,藤田観光,98
2939,サンケイ化学,98
3552,石垣食品,98
2944,永大化工,97
2029,岩塚製菓,97
2474,東京汽船,97
3103,ローヤル電機,97
2712,セーラー広告,97
2792,特殊電極,97
2836,川崎地質,97
2751,ペッパーフードサービス,97
2183,筑邦銀行,97
2622,グリーンクロス,97
364,関西ペイント,97
869,木徳神糧,97
776,シロキ工業,97
322,横河電機,97
717,アイカ工業,97
1447,共和レザー,97
2843,データリンクス,97
1251,北越銀行,97
2530,神戸発動機,97
1237,カネコ種苗,97
1551,みちのく銀行,97
3376,フュートレック,97
2106,大阪工機,97
598,三機工業,96
2485,キューブシステム,96
1800,協立電機,96
76,神戸製鋼所,96
1879,ケネディクス,96
1484,中部鋼鈑,96
1049,ファルテック,96
3128,ＧＭＯペパボ,96
3501,図研エルミック,96
1622,グルメ杵屋,96
1924,池上通信機,96
1686,パンチ工業,96
3472,小島鉄工所,95
2302,ブルドックソース,95
763,小林製薬,95
3217,光陽社,95
2521,東海汽船,95
1555,日華化学,95
1138,藤倉化成,95
1990,寿スピリッツ,95
1485,東京計器,95
2100,丸三証券,95
2931,シグマ光機,95
373,カシオ計算機,95
1671,三菱化工機,95
1246,薬王堂,95
2634,グローバルダイニング,95
707,サカタインクス,95
2437,バリューコマース,95
996,名工建設,95
623,倉敷紡績,95
2523,ブロードメディア,95
2430,宝印刷,95
2915,ミクロン精密,95
1299,千葉興業銀行,95
2554,レッグス,95
2692,テクノメディカ,95
286,オリエンタルランド,95
112,川崎汽船,95
2268,リンコーコーポレーション,94
626,大建工業,94
2395,東亜ディーケーケー,94
2399,センコン物流,94
1276,琉球銀行,94
341,日本触媒,94
74,ダイキン工業,94
3367,ペプチドリーム,94
2125,リゾートソリューション,94
226,大塚商会,94
1170,デクセリアルズ,94
780,中国銀行,94
2799,クロスキャット,94
2467,日本興業,94
1346,日本リーテック,94
1221,ケンコーマヨネーズ,94
2540,アピックヤマダ,94
2,本田技研工業,94
733,イーグル工業,94
3316,テクノ・セブン,94
1330,タカギセイコー,94
558,セントラル硝子,93
194,ブラザー工業,93
1328,アーク,93
203,日立物流,93
2746,浅香工業,93
177,日揮,93
1034,日本工営,93
2732,メック,93
3176,セック,93
1308,平田機工,93
2337,尾張精機,93
162,ニコン,93
2754,日建工学,93
965,三浦工業,93
2354,東北銀行,93
2981,テクニカル電子,93
2009,さくらケーシーエス,93
519,河西工業,93
2676,東京會舘,93
879,西尾レントオール,93
3434,情報企画,93
2412,兵機海運,93
1006,ナック,93
1456,中山福,93
816,東海カーボン,93
111,大東建託,93
1114,京葉銀行,93
813,トレンドマイクロ,93
808,キッツ,93
2861,エラン,93
371,すかいらーく,93
797,リゾートトラスト,93
1682,一正蒲鉾,93
2200,福島銀行,93
2119,昭和パックス,93
3356,リスクモンスター,93
1149,岡部,93
