順位,名前,点数
286,オリエンタルランド,95
287,ＤＯＷＡホールディングス,38
288,ベネッセホールディングス,54
289,三谷商事,40
290,中外製薬,53
291,郵船ロジスティクス,68
292,ＳＭＣ,1
293,東海理化電機製作所,63
294,大王製紙,41
295,サンドラッグ,80
296,ダイセル,70
297,ユアサ商事,35
298,ツルハホールディングス,82
299,関電工,128
300,山善,32
301,テイ・エス　テック,44
302,ＫＮＴ－ＣＴホールディングス,37
303,ヤマハ,1
304,日清食品ホールディングス,77
305,日本軽金属ホールディングス,68
306,ＤＣＭホールディングス,41
307,伊藤園,18
308,ヤフー,16
309,五洋建設,55
310,コカ・コーラウエスト,70
311,フタバ産業,40
312,戸田建設,65
313,平和堂,22
314,ニトリホールディングス,77
315,田辺三菱製薬,77
316,マキタ,76
317,クラレ,176
318,ミサワホーム,23
319,コスモス薬品,91
320,京王電鉄,56
321,野村総合研究所,73
322,横河電機,97
323,前田建設工業,80
324,丸井グループ,98
325,ＪＳＲ,1
326,テンプホールディングス,54
327,住友理工,84
328,安川電機,90
329,センコー,75
330,新生銀行,70
331,ＮＩＰＰＯ,12
332,東洋ゴム工業,59
333,デンカ,100
334,スギホールディングス,60
335,伊藤忠テクノソリューションズ,68
336,東洋水産,28
337,ＡＴグループ,50
338,日本碍子,71
339,三井海洋開発,83
340,三井住友建設,58
341,日本触媒,94
342,ファミリーマート,52
343,上新電機,75
344,大日本住友製薬,67
345,キッコーマン,123
346,ＫＹＢ,1
347,ジーエス・ユアサ　コーポレーション,64
348,安藤・間,67
349,ヤクルト本社,90
350,ライオン,77
351,綜合警備保障,59
352,西日本鉄道,44
353,ローム,83
354,日本テレビホールディングス,76
355,熊谷組,65
356,ＩＴホールディングス,46
357,スタンレー電気,98
358,日立造船,35
359,セガサミーホールディングス,56
360,アシックス,80
361,興銀リース,91
362,アサツー　ディ・ケイ,39
363,東洋紡,33
364,関西ペイント,97
365,ココカラファイン,83
366,ヤマエ久野,52
367,東京放送ホールディングス,67
368,日本特殊陶業,80
369,西松建設,72
370,プリマハム,46
371,すかいらーく,93
372,三和ホールディングス,54
373,カシオ計算機,95
374,協和発酵キリン,78
375,シマノ,30
376,ＪＫホールディングス,46
377,日清オイリオグループ,80
378,イオンフィナンシャルサービス,51
379,コムシスホールディングス,75
380,シチズンホールディングス,61
381,近鉄エクスプレス,76
382,ケーヒン,75
383,黒田電気,118
384,パナホーム,56
385,ニプロ,66
386,ＯＵＧホールディングス,41
387,江崎グリコ,110
388,イビデン,45
389,京浜急行電鉄,81
390,大京,72
391,コメリ,166
392,九電工,110
393,島津製作所,60
394,フジ,25
395,東洋エンジニアリング,55
396,ユニプレス,40
397,日本ゼオン,78
398,ヤオコー,70
399,サンデンホールディングス,68
400,ミツバ,26
401,横浜銀行,90
402,石油資源開発,84
403,トクヤマ,57
404,協和エクシオ,91
405,日本製粉,70
406,ＳＣＳＫ,15
407,リンナイ,77
408,京阪電気鉄道,90
409,アルパイン,122
410,コーナン商事,65
411,セイコーホールディングス,77
412,コクヨ,176
413,三協立山,53
414,ＮＥＣネッツエスアイ,23
415,大正製薬ホールディングス,61
416,東洋インキＳＣホールディングス,60
417,アマダホールディングス,54
418,ＪＶＣケンウッド,57
419,ミライト・ホールディングス,70
420,コネクシオ,124
421,スターゼン,36
422,オンワードホールディングス,60
423,シナネンホールディングス,57
424,ＵＫＣホールディングス,41
425,丸文,157
426,近鉄百貨店,100
427,アスクル,132
428,テレビ朝日ホールディングス,68
429,富士通ゼネラル,93
430,パルコ,166
431,塩野義製薬,50
432,シップヘルスケアホールディングス,67
433,オークワ,70
434,不二製油グループ本社,46
435,ニチイ学館,67
436,ゲオホールディングス,57
437,マックスバリュ西日本,80
438,日本ユニシス,63
439,ショーワ,40
440,ダイフク,70
441,イオンディライト,56
442,トッパン・フォームズ,52
443,東建コーポレーション,85
444,東急建設,90
445,日本ペイントホールディングス,73
446,良品計画,80
447,ニチユ三菱フォークリフト,64
